dataset_id	lib_name	spl_expected_status	method_name	spl_pred_score
0	spl-247	MSS	MSISensor	0.8
0	spl-285	MSS	MSISensor	0.8
0	spl-213	MSS	MSISensor	0.75
0	spl-217	MSS	MSISensor	0.8
0	spl-091	MSS	MSISensor	0.6667
0	spl-135	MSS	MSISensor	0.75
0	spl-284	MSS	MSISensor	0.75
0	spl-084	MSS	MSISensor	0.8
0	spl-074	MSS	MSISensor	0.75
0	spl-240	MSS	MSISensor	0.75
0	spl-231	MSS	MSISensor	0.75
0	spl-072	MSS	MSISensor	0.75
0	spl-178	MSS	MSISensor	1
0	spl-199	MSS	MSISensor	0.8
0	spl-057	MSS	MSISensor	0.75
0	spl-087	MSS	MSISensor	0.6667
0	spl-211	MSS	MSISensor	0.8
0	spl-259	MSS	MSISensor	0.75
0	spl-195	MSS	MSISensor	0.8
0	spl-249	MSS	MSISensor	0.75
0	spl-095	MSS	MSISensor	0.75
0	spl-109	MSS	MSISensor	0.8
0	spl-076	MSS	MSISensor	0.75
0	spl-216	MSS	MSISensor	0.75
0	spl-228	MSS	MSISensor	0.75
0	spl-197	MSS	MSISensor	0.75
0	spl-108	MSS	MSISensor	0.5
0	spl-145	MSS	MSISensor	0.8
0	spl-179	MSS	MSISensor	0.75
0	spl-075	MSS	MSISensor	0.6667
0	spl-220	MSS	MSISensor	0.75
0	spl-224	MSS	MSISensor	0.75
0	spl-177	MSS	MSISensor	0.8
0	spl-192	MSS	MSISensor	0.8
0	spl-268	MSS	MSISensor	0
0	spl-248	MSS	MSISensor	0.75
0	spl-234	MSS	MSISensor	0.75
0	spl-262	MSS	MSISensor	0.75
0	spl-245	MSS	MSISensor	1
0	spl-189	MSS	MSISensor	0.6667
0	spl-263	MSS	MSISensor	0.75
0	spl-214	MSS	MSISensor	0.75
0	spl-223	MSS	MSISensor	0.75
0	spl-219	MSS	MSISensor	0.75
0	spl-200	MSS	MSISensor	0.75
0	spl-204	MSS	MSISensor	0.75
0	spl-013	MSS	MSISensor	1
0	spl-251	MSS	MSISensor	0.75
0	spl-066	MSS	MSISensor	1
0	spl-103	MSS	MSISensor	0.75
0	spl-243	MSS	MSISensor	0.75
0	spl-286	MSS	MSISensor	0.6
0	spl-246	MSS	MSISensor	0.8
0	spl-121	MSS	MSISensor	0.75
0	spl-170	MSS	MSISensor	0.8
0	spl-210	MSS	MSISensor	0.8
0	spl-175	MSS	MSISensor	0.8
0	spl-131	MSS	MSISensor	0.8
0	spl-208	MSS	MSISensor	0.75
0	spl-222	MSS	MSISensor	0.75
0	spl-242	MSS	MSISensor	0.75
0	spl-107	MSS	MSISensor	0.75
0	spl-128	MSS	MSISensor	0.8
0	spl-252	MSS	MSISensor	0.75
0	spl-185	MSS	MSISensor	1
0	spl-227	MSS	MSISensor	0.75
0	spl-073	MSS	MSISensor	0.6667
0	spl-241	MSS	MSISensor	0.75
0	spl-230	MSS	MSISensor	0.75
0	spl-168	MSS	MSISensor	0.8
0	spl-267	MSS	MSISensor	0.5
0	spl-098	MSS	MSISensor	0.75
0	spl-116	MSS	MSISensor	0.6
0	spl-279	MSS	MSISensor	0.8
0	spl-282	MSS	MSISensor	0.75
0	spl-225	MSS	MSISensor	0.8
0	spl-283	MSS	MSISensor	0.8
0	spl-174	MSS	MSISensor	0.8
0	spl-002	MSS	MSISensor	0.75
0	spl-111	MSS	MSISensor	0.75
0	spl-201	MSS	MSISensor	0.75
