sample	sample_status	BAT25	BAT26	NR21	NR22	NR27	HT17
spl-001	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-002	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-003	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-004	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-005	MSI	MSS	MSI	MSI	MSI	MSI	MSI
spl-006	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-007	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-008	MSI	MSI	MSI	Undetermined	MSI	MSI	MSI
spl-009	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-010	MSI	Undetermined	MSI	MSI	MSI	MSI	MSI
spl-011	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-012	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-013	MSS	MSI	MSS	MSS	MSS	MSI	Undetermined
spl-014	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-015	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-016	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-017	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-018	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-019	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-020	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-021	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-022	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-023	MSS	MSI	Undetermined	MSS	MSS	MSI	MSS
spl-024	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-025	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-026	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-027	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-028	MSI	MSI	MSI	MSI	MSI	MSI	MSS
spl-029	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-030	MSI	MSI	MSI	MSI	MSS	MSI	MSS
spl-031	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-032	MSI	MSI	MSI	MSS	MSI	MSI	MSI
spl-033	MSI	MSI	MSI	MSI	MSI	MSI	MSS
spl-034	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-035	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-036	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-037	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-038	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-039	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-040	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-041	MSI	MSI	MSI	MSI	MSI	MSI	MSS
spl-042	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-043	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-044	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-045	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-046	MSS	MSS	MSS	MSS	MSI	MSS	MSS
spl-047	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-048	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-049	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-050	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-051	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-052	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-053	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-054	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-055	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-056	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-057	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-058	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-059	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-060	MSI	MSI	MSI	MSS	MSI	MSI	MSS
spl-061	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-062	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-063	MSS	MSS	MSI	MSI	MSS	MSS	MSS
spl-064	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-065	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-066	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-067	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-068	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-069	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-070	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-071	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-072	MSS	MSS	MSS	MSS	MSS	MSI	MSS
spl-073	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-074	MSS	MSS	MSS	MSS	MSS	MSS	MSS
